Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A proposal for a claims triage assistant is otherwise sound. The requirement document states the system must never issue a payment above a set value without sign-off. The design places that rule in the system prompt. What does an architect say?,multiple-choice,The system prompt is acceptable provided the rule is restated in every tool description as well.,,"A must-never requirement belongs in the authorization layer or harness, which the model cannot argue past.",,The system prompt is acceptable provided a more capable tier is used for the payment decisions.,,"The rule belongs in the retrieval corpus, so that the model can consult the current threshold on each occasion.",,,,,,2,"Requirement language phrased as must never signals enforcement, and enforcement lives in the harness or the authorization layer rather than in text the model weighs against everything else in its context. Restating it in more advisory places multiplies the guidance without changing its nature, and a corpus makes a hard rule conditional on the model choosing to look it up.",D1 Solution Design & Architecture
A support knowledge base is revised weekly and the proposed design bakes its contents into a long system prompt for cache efficiency. What is the architectural objection?,multiple-choice,The prompt would exceed the context window once the knowledge base grows past its current size.,,"In-prompt knowledge cannot be cited, so answers would lack the references users expect to see.",,"Freshness is the binding property here, and in-prompt knowledge goes stale between deployments.",,"Cached prefixes cannot contain domain knowledge, only instructions and output conventions.",,,,,,3,"A corpus that changes weekly is a retrieval problem: knowledge held in a prompt is only as current as the last deployment, and nothing signals when it has drifted. Caching is a real saving that is simply aimed at the wrong constraint here. Size may become a problem eventually, but staleness is a problem immediately.",D1 Solution Design & Architecture
A document classification step is wrapped in an agent loop so that it can retry and reconsider. Accuracy is unchanged and latency has tripled. What should the architect conclude?,multiple-choice,"The loop needs a tighter iteration cap, so reconsideration stops once the label has stabilized.",,"The loop needs a cheaper tier, so the additional iterations cost less than they currently do.",,"Classification is one transformation, so the loop adds nondeterminism and latency for no benefit.",,"The loop needs a verification step, so reconsideration is driven by a check rather than by chance.",,,,,,3,"A single transformation — classify, extract, summarize, rewrite — is a single-call pattern. Wrapping it in an agent loop is the characteristic misuse: it adds latency and variability to a task with a known shape and one right output. Tuning the loop optimizes something that should not exist.",D1 Solution Design & Architecture
A team proposes a retrieval pipeline over a forty-page policy document that changes twice a year. What is the proportionate design?,multiple-choice,"Build the retrieval pipeline anyway, since retrieval scales better as the corpus eventually grows.",,"Fine-tune on the policy document, since its content is stable enough to embed in the model.",,"Split the document across several prompts, selecting the relevant one by a routing classifier.",,"Put the document in a cached prompt prefix, since the corpus is small and effectively static.",,,,,,4,"Retrieval earns its complexity when the corpus is large, changing, or authoritative in a way that demands citation. Forty static pages fit comfortably in a cached prefix, where they cost almost nothing on repeat calls and cannot go stale between refreshes. Building retrieval here is complexity purchased against a constraint that does not bind.",D1 Solution Design & Architecture
"A design review covers the orchestration, prompt, knowledge, tools and experience layers of a proposed assistant. Every one is specified. Deployment is refused. Which layers were most likely absent?",multiple-choice,"Prompt and knowledge, which together determine whether the system can answer at all.",,"Governance and evaluation, without which there is nothing to show a regulator and no way to see drift.",,"Knowledge and tools, which are the layers whose absence is hardest to detect during review.",,"Experience and orchestration, which are the two layers most often assumed rather than actually designed.",,,,,,2,"The reference architecture has seven layers, and a design that names five is missing two. Governance supplies policy, approvals, audit trail and data classification; evaluation and observability supply eval sets, metrics, alarms and cost tracking. Without them there is nothing to show a regulator and no way to detect a silent regression, which is exactly what blocks a production sign-off.",D1 Solution Design & Architecture
"An assistant runs inside a checkout flow with a strict p95 budget, and the proposed pattern is a multi-step agent performing retrieval at each step. Which objection is primary?",multiple-choice,"Retrieval quality will be inconsistent across the steps, producing variable grounding for answers.",,The agent will require more tools than the team has currently scoped for the integration.,,The cost per interaction will exceed what a checkout-adjacent feature can justify at volume.,,"The pattern is serially additive, so the latency requirement is violated by the design itself.",,,,,,4,"A latency non-functional requirement is a hard architectural constraint, and agent iterations plus retrieval hops add serially. No amount of tuning brings that design under a tight budget, so the pattern fails the requirement outright. Cost is a genuine secondary concern, and the other two are implementation risks rather than a pattern-versus-requirement mismatch.",D1 Solution Design & Architecture
Traffic for an internal assistant is flat most of the day and spikes to twenty times average for two hours after a scheduled data load. What does that shape drive?,multiple-choice,"A larger model tier, so the spike is absorbed by faster processing of each individual request.",,"A longer client timeout, so requests queued behind the spike eventually complete successfully.",,"Rate-limit headroom and queueing, with latency-tolerant work offloaded away from the spike.",,"A second deployment region, so the spike is distributed across more available capacity.",,,,,,3,"Peak-versus-average is a throughput question, and the architectural consequences are rate-limit headroom, queuing, and moving anything latency-tolerant out of the peak window into batch. A larger tier is slower per request, not faster, and a longer timeout converts a capacity problem into a waiting problem without resolving it.",D1 Solution Design & Architecture
A stakeholder asks what users will see when the model provider is degraded. The design has no answer. What does an architect specify?,multiple-choice,"A fallback path — a smaller tier, a cached answer, or an explicit unavailable state.",,"An alarm to the on-call engineer, so degradation is addressed as quickly as possible.",,A retry policy long enough that transient degradation resolves before the user notices.,,"A status banner on the application, so users understand that the provider is at fault.",,,,,,1,"Availability is a non-functional requirement, and a design with no specified degraded behaviour will improvise one — usually a hang or an unexplained failure. Deciding in advance between a smaller tier, a cached answer and an honest unavailable state is what makes it production-grade. Alarms and banners inform people about a degraded experience rather than designing one.",D1 Solution Design & Architecture
"A design document claims the proposed change will simultaneously reduce latency, reduce cost, and improve accuracy relative to the current system. What should a reviewer do?",multiple-choice,"Ask for the benchmark data, since the claim is plausible once the workload is well characterized.",,"Ask for a staged rollout, so each of the three claimed improvements can be measured separately.",,"Approve it, since a design improving all three dimensions is strictly better than the current one.",,"Ask which assumption is carrying the claim, since those three trade against one another.",,,,,,4,"Latency, cost and accuracy trade against one another, so a design claiming all three at once is concealing an assumption — usually a narrowed scope, a quality bar quietly lowered, or a comparison against a badly configured baseline. Naming the binding constraint and stating what was given up is the professional standard, and its absence is the thing to challenge.",D1 Solution Design & Architecture
"A decision record documents the context, the decision, the alternatives rejected and the consequences. A reviewer says it is incomplete. What is missing?",multiple-choice,"The name of the engineer who made the decision, so accountability is recorded with it.",,"The estimated implementation effort, so the decision can be prioritized against other work.",,"The signal that would cause the decision to be revisited, stated in measurable terms.",,"The diagram of the resulting architecture, so future readers can see what was actually built.",,,,,,3,"The five-line decision record ends with revisit-when: the measurable signal that would change the decision. Without it a record explains a past choice but cannot tell a future team whether it still holds, which is what separates a decision record from a rationalization. Authorship, effort and diagrams are useful metadata that do not carry that function.",D1 Solution Design & Architecture
