Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"An e-commerce platform team needs a returns-processing assistant to follow the same known sequence every time — extract fields, apply policy rules, produce output — with easily verifiable success. Which architectural pattern best fits?",multiple-choice,"A workflow-based architecture with fixed, predefined steps.",,A fully agentic architecture where Claude decides each next action dynamically.,,A multi-agent system with several coordinator-delegated subagents.,,An architecture with no defined processing steps at all.,,,,,,1,"A workflow-based pattern fits predictable, verifiable, fixed-sequence tasks. An open-ended agentic or multi-agent architecture would add unneeded complexity and variability the task doesn't require.",D1 Solution Design & Architecture
"A B2B SaaS platform team is designing a report-generation assistant to handle requests where the right next step (look something up, ask a clarifying question, synthesize, or stop) genuinely depends on what's discovered along the way. Which pattern best fits?",multiple-choice,A purely augmented LLM pattern with a single retrieval call and no further reasoning.,,"An agentic architecture, where Claude dynamically plans and decides its next action based on intermediate results.",,"A fixed workflow using identical steps for every request, regardless of content.",,No architecture at all — just static responses.,,,,,,2,"When the correct next step depends on what's discovered along the way and can't be enumerated in advance, an agentic architecture is the right fit — a fixed workflow can't adapt to genuinely variable paths.",D1 Solution Design & Architecture
"A fintech company's platform team only needs a loan-underwriting assistant to retrieve relevant reference content and generate a single grounded answer per request, with no multi-step planning or tool orchestration required. Which pattern is most appropriate, and why is a full multi-agent system unjustified here?",multiple-choice,No architecture is needed since retrieval-augmented answers don't require any pattern.,,A multi-agent system is always the safest choice regardless of task complexity.,,"An augmented LLM pattern (retrieval plus a single generation call) is appropriate; a multi-agent system would add coordination overhead with no corresponding benefit for this simple, single-step task.",,An agentic loop with unbounded tool access is required even for single-step retrieval tasks.,,,,,,3,"An augmented LLM pattern — retrieval plus a single generation step — fits simple, single-step grounded answers. A multi-agent system would be over-engineered, adding coordination overhead without a corresponding benefit.",D1 Solution Design & Architecture
"A healthcare software team is designing the end-to-end flow for a clinical documentation assistant: input, processing, and output are all defined, but there's no mechanism to detect and correct low-quality outputs before they reach the Chief Medical Information Officer. What is missing from this architecture?",multiple-choice,"A larger model, which is unrelated to the missing feedback step.",,A feedback loop — a mechanism to evaluate output quality and route poor outputs back for correction or human review.,,"A faster network connection, which does not address output validation.",,"More input tokens, which does not address output validation.",,,,,,2,"A complete end-to-end architecture includes input, processing, output, and a feedback mechanism. Without a way to detect and correct low-quality outputs, quality problems reach stakeholders unchecked.",D1 Solution Design & Architecture
"An e-commerce platform team needs to solve a large, multi-faceted problem for a returns-processing assistant that spans several distinct sub-problems, each requiring different expertise or tools. What design approach is most appropriate?",multiple-choice,Attempt to solve the entire problem in a single undivided prompt regardless of its scope.,,"Apply decomposition — break the problem into manageable components, each handled by the most appropriate agent, tool, or step.",,Assign the entire problem to whichever tool happens to be configured first.,,Ignore the parts of the problem that don't fit neatly into a single call.,,,,,,2,"Decomposition — breaking a large, multi-faceted problem into manageable components matched to appropriate agents/tools — is the correct approach for complex problem solving, rather than forcing everything into one undifferentiated step.",D1 Solution Design & Architecture
"A B2B SaaS platform team's primary business driver for a report-generation assistant is cost reduction, and the task is simple and well-defined. The current design routes every request through a multi-agent system with the most capable model at every step. What does this architecture get wrong?",multiple-choice,Multi-agent systems are always the cheapest option available.,,"The architecture is over-engineered relative to the stated business value pillar (cost reduction) and task simplicity — a simpler, cheaper pattern would better align with the actual goal.",,It's aligned well with the business driver and should not change.,,Cost is irrelevant to architecture decisions.,,,,,,2,"Architecture should align with the stated business value pillar. When cost reduction is the primary driver and the task is simple, a multi-agent system with the most capable model at every step is misaligned and over-engineered.",D1 Solution Design & Architecture
"A fintech company's platform team must meet p95 latency under 800ms for a loan-underwriting assistant, and the current design is a multi-agent architecture with several sequential coordinator round-trips per request. What is the most likely architectural issue?",multiple-choice,Multi-agent systems are always faster than single-call patterns regardless of round-trip count.,,The only way to meet a latency target is to remove all reasoning steps entirely.,,The sequential multi-agent design likely can't meet the latency target; a simpler pattern (or parallelizing/reducing round-trips) should be evaluated against the SLA.,,Latency targets are unrelated to architectural pattern choice.,,,,,,3,"Sequential multi-agent round-trips add latency; when a strict target must be met, the architecture — not just the model or prompt — needs to be evaluated and potentially simplified or parallelized.",D1 Solution Design & Architecture
"A healthcare software team is proposing a full agentic architecture with autonomous tool selection for a clinical documentation assistant, even though the task is a simple, fixed three-step process with well-understood success criteria. What is the concern with this proposal?",multiple-choice,Fixed processes can never be automated with Claude at all.,,Agentic architectures are cheaper than workflows in every case.,,There is no concern; agentic architectures are always superior regardless of task complexity.,,"This is likely over-engineered: a workflow-based pattern would better match a simple, fixed, well-understood process, without the added variability and complexity of an autonomous agent.",,,,,,4,"Matching architecture to actual task requirements matters: a simple, fixed process with known success criteria is better served by a workflow than an autonomous agent, which adds complexity and variability without benefit.",D1 Solution Design & Architecture
"An e-commerce platform team decomposed a complex request for a returns-processing assistant into subtasks, but after implementation, the VP of Customer Experience discovers an entire category of cases the design never accounts for. What is the most likely root cause?",multiple-choice,The issue is unrelated to how the problem was decomposed.,,"The initial decomposition of the problem was too narrow, leaving a real category of cases uncovered by any subtask.",,The model is fundamentally incapable of handling more than a few categories of cases.,,This can only be fixed by abandoning Claude and switching platforms.,,,,,,2,"When an entire category of cases is missing after decomposition, the most likely cause is that the initial decomposition itself was too narrow — a design-time gap, not an execution failure.",D1 Solution Design & Architecture
"A B2B SaaS platform team is translating a business goal (""reduce manual review time by 40%"") into an architecture for a report-generation assistant. Which approach best reflects good solution design practice?",multiple-choice,Treat every business goal identically regardless of what it actually asks for.,,"Pick an architecture pattern first, without reference to the stated business goal, and hope it happens to help.",,"Connect the architectural choice explicitly to the measurable business outcome, and design the solution so its impact on that metric can be evaluated.",,Ignore the business goal entirely and focus only on technical elegance.,,,,,,3,"Good solution design explicitly connects architectural choices to measurable business outcomes, so the resulting solution's impact against that goal (like reduced review time) can actually be evaluated.",D1 Solution Design & Architecture
