Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A design must serve a peak several times its average load. What does that determine?,multiple-choice,"The capacity the design is built to, since the peak is when it must work.",,"The capacity of the slowest dependency, which bounds the whole design.",,"The average capacity, with the peak absorbed by queueing the excess.",,"The capacity the budget allows, with the peak handled by shedding load.",,,,,,1,"A system sized to its average fails precisely when it is busiest, so the peak is the design point unless demand can genuinely be shaped away from it. Queueing and shedding are legitimate responses that have to be chosen deliberately with their consequences understood, rather than assumed to absorb whatever arrives.",D1 Solution Design & Architecture
An architecture has no defined trust boundary between the model and the systems it can reach. What is the consequence?,multiple-choice,The systems cannot be monitored for the calls the model makes to them.,,The model's requests cannot be attributed to the user who initiated them.,,Anything that influences the model influences those systems directly.,,The systems are exposed to a higher request volume than they expect.,,,,,,3,"A trust boundary is where influence stops and enforcement begins. Without one, retrieved content or a user's message becomes a route into whatever the model can call, because nothing between them evaluates the request independently. Monitoring, attribution and volume are consequences of a boundary that was never drawn.",D1 Solution Design & Architecture
Two systems both hold what is treated as the authoritative version of a record. What does the design need to establish?,multiple-choice,A rule determining which one takes precedence when they then conflict.,,"Which one is the source of truth, with the other derived from it.",,A reconciliation process that runs when the two of them diverge.,,A synchronization mechanism keeping the two of them consistent.,,,,,,2,"Two authorities means no authority, and every downstream question about which value is correct becomes unanswerable. Naming one as the source and deriving the other is what makes the rest tractable. Reconciliation, precedence rules and synchronization are all mechanisms for managing a divergence that better design avoids.",D1 Solution Design & Architecture
A caching layer is proposed in front of the assistant. What must the design specify about it?,multiple-choice,"How large the cache is, and what is evicted when it becomes full.",,How the cache is warmed before the system begins serving traffic.,,Where the cache is deployed relative to the users it serves.,,"What makes a response reusable, and for how long it remains so.",,,,,,4,"A cache is only correct if the equivalence rule is right: which requests may share a response, given the user, their entitlements and how fast the underlying material changes. Size, placement and warming are performance concerns that matter once the correctness question is settled.",D1 Solution Design & Architecture
An assistant is being introduced alongside an existing system that will remain in service. What must the design address?,multiple-choice,How long the existing system will remain in service alongside it.,,"Which requests go where, and what happens when they disagree.",,Whether the two systems can share the same operational tooling.,,Whether the existing system's data can be reused by the assistant.,,,,,,2,"Coexistence is a routing and reconciliation problem: users and downstream systems will encounter both, and without a rule for which is authoritative the organization gets two answers to the same question. Duration, data reuse and tooling are all real and none of them resolves the ambiguity users experience.",D1 Solution Design & Architecture
A capability can be released behind a switch that exposes it to a subset of users. What does that primarily buy?,multiple-choice,The ability to release before the capability is fully complete.,,The ability to measure the capability's effect on those users.,,The ability to charge different users for different capabilities.,,The ability to limit exposure and withdraw it without a deployment.,,,,,,4,"The value of a switch is control over blast radius and a fast route back, which is what makes releasing a change to real users a bounded decision. Measurement is enabled by it and depends on how the subset is chosen. Releasing something incomplete is a use rather than the benefit.",D1 Solution Design & Architecture
An architect is asked what the assistant will cost to run. What form should the answer take?,multiple-choice,"Cost per unit of work, with the drivers stated so it can be projected.",,"A range, since the cost depends on factors not yet determined.",,"An annual figure, since in fact that is the period budgets are set over.",,A monthly figure based on the volume observed during the pilot.,,,,,,1,"Unit economics let anyone project the cost at any volume and see which lever moves it, which is what a sponsor actually needs. A period total is a snapshot that stops being true as volume changes. A bare range without drivers communicates uncertainty without making it navigable.",D1 Solution Design & Architecture
A commitment is being made about how quickly the assistant responds. What must accompany the number?,multiple-choice,"The average measured during the pilot, as evidence for the figure.",,The conditions under which the commitment does not apply.,,The dependencies whose latency contributes to the total figure.,,Which percentile it refers to and what counts as a response.,,,,,,4,"A latency commitment without a percentile and a definition of success is untestable: an average conceals the tail users complain about, and a fast error is not a response. Dependency breakdowns and exclusions matter once the commitment itself is well formed.",D1 Solution Design & Architecture
Observability is proposed as something to add after the assistant is working. What is the objection?,multiple-choice,The team will not prioritize it once the system is already working.,,The system will then have run unobserved during the period well before it is added.,,The cost of adding it later is higher than the cost of building it in.,,"What must be observable shapes the design, so it cannot be retrofitted cleanly.",,,,,,4,"Correlation identifiers, per-step attribution and the capture of what a decision rested on are structural choices that determine whether the system can be understood at all. Bolting them on afterwards means retrofitting the seams. Cost, prioritization and the unobserved period are consequences of the same point.",D1 Solution Design & Architecture
A process will combine automated handling with human judgment. What must the design specify most carefully?,multiple-choice,The tooling the human side uses to review what it receives.,,The proportion of cases each side is expected to handle.,,The training the human side requires to perform its part.,,The boundary: what each side decides and what crosses between them.,,,,,,4,"Hybrid processes fail at the seam: the person does not know what has been checked, or the system's output arrives with an authority nobody intended. Defining what each side is responsible for and what information crosses is the design work. Proportions, tooling and training follow from that definition.",D1 Solution Design & Architecture
"An assistant must serve requests from a web application, a mobile client and a batch job. What should the design expose?",multiple-choice,"One interface the three surfaces call, rather than each embedding its own logic.",,"A queue the three surfaces publish to, so the assistant consumes uniformly.",,"A shared library the three surfaces embed, so the logic is written only once.",,"One interface per surface, each shaped to what that surface actually requires.",,,,,,1,"Prompt construction, retrieval, guardrails and evaluation all belong behind one boundary, or three copies of them drift apart and only one gets each fix. Surfaces differ in presentation rather than in the reasoning. An embedded library shares code without sharing deployment, and a queue is a transport choice that does not by itself centralize the logic.",D1 Solution Design & Architecture
