Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Users see spinners and unexplained failures. Which layer of the reference architecture was under-designed?,multiple-choice,"Governance, whose absence produces audit gaps rather than the symptoms described here.",,"Orchestration, which owns control flow and would ordinarily surface progress to callers.",,"Knowledge, whose absence produces stale answers rather than the symptoms described here.",,"Experience, which owns streaming, degraded states and disclosure of AI involvement.",,,,,,4,"The symptom names the layer: spinners and unexplained failures are what an absent experience layer produces, because nobody designed what a user sees while waiting, when the system is degraded, or when it cannot answer. The other layers have characteristic failures that do not match what is being reported.",D1 Solution Design & Architecture
Which five elements make up a usable architecture decision record?,multiple-choice,"Requirement, design, implementation plan, test strategy and rollout order.",,"Context, decision, alternatives, consequences and the signal to revisit.",,"Problem, options, cost estimate, chosen approach and the approval date.",,"Background, stakeholders, risks, mitigations and the responsible owner.",,,,,,2,"The five-line record is context including the binding constraint, the decision, the alternatives rejected and why, the consequences, and the measurable signal that would change the decision. Approval dates, plans and stakeholder lists are project artifacts that record who agreed rather than what was traded away.",D1 Solution Design & Architecture
Which discovery question most directly surfaces an adoption risk rather than a technical one?,multiple-choice,"Which systems hold the data, and what entitlements apply to each.",,"Who has to change how they work, and what would make them refuse.",,"What the peak volume is, and how far above average it typically runs.",,"Who signs off on the design, and what evidence they will require.",,,,,,2,"Adoption is its own discovery area: who changes behaviour and what would make them refuse. A design that is technically sound and behaviourally unacceptable does not get used. Data, volume and sign-off are all genuine discovery areas covering entitlements, capacity and compliance respectively.",D1 Solution Design & Architecture
A process today runs partly on undocumented judgment by an experienced team member. What does discovery need to capture?,multiple-choice,"What that person actually decides and on what basis, since it is part of the process.",,"How long that person has held the role, which indicates how much tacit knowledge exists.",,"How the process ran before that person joined, which shows what is genuinely required.",,"Whether that person supports the project, since their cooperation will be needed.",,,,,,1,"Documenting the process as it actually runs means capturing the judgment nobody wrote down, because that is precisely what an integration removes without noticing. Tenure and sentiment are useful context about the person rather than about the decision, and the historical process describes a different system.",D1 Solution Design & Architecture
"A workload is described as high volume, latency-tolerant and well specified. Which pattern is the starting point?",multiple-choice,"An agent, since high volume benefits from adaptive handling per item.",,"A workflow, since three properties are stated and each may need a step.",,A single call per item on the smallest tier that passes evaluation.,,"A multi-agent design, since volume can be spread across participants.",,,,,,3,"One transformation per item, well specified, is a single-call task — and latency tolerance plus volume then drives batching and tier selection rather than a more elaborate pattern. Escalating to a workflow, an agent or multiple agents adds structure the work does not need and costs determinism along with money.",D1 Solution Design & Architecture
What distinguishes an architect's response to a request that conflicts with a constraint?,multiple-choice,Implementing the request while documenting the constraint as a known risk.,,Naming the conflict rather than implementing the request as it was stated.,,Implementing the request and adding monitoring for the constraint's breach.,,Escalating the request to whoever owns the constraint for a formal decision.,,,,,,2,"A scenario frequently hands you a proposed solution together with a constraint that rules it out, and the professional move is to notice and say so rather than to build it. Documenting a known risk and monitoring for a breach both proceed with a design that is already known not to satisfy the requirement.",D1 Solution Design & Architecture
Which cost characteristic makes an agent loop expensive beyond its per-call price?,multiple-choice,Each iteration is billed at a premium rate reflecting the additional orchestration.,,"Each iteration re-declares the tool set, which is charged apart from the prompt.",,"Each iteration resends accumulated history, so cost grows faster than iterations.",,Each iteration requires a separate credential check against the calling account.,,,,,,3,"A stateless API resends the whole conversation each call, so an agent's later iterations carry all of the earlier turns and tool results. Cost grows super-linearly with iteration count, which is why bounding the loop and trimming results matter economically as well as for quality. Nothing is billed at a premium for being agentic.",D1 Solution Design & Architecture
A design proposes multi-agent decomposition purely so each participant has a specialized persona. What is the assessment?,multiple-choice,"Sound, since specialization improves the quality of each individual stage.",,"Unjustified, since multi-agent designs are never warranted at this scale.",,"Likely unjustified, since personas alone deliver no isolation or parallelism.",,"Sound, provided each and every participant is given the most capable tier available.",,,,,,3,"The legitimate reasons for multi-agent are context isolation, parallelism and independent verification. Different personas over one context and one tool set deliver none of them, and a single agent switching instructions achieves the same at a fraction of the cost. Multi-agent is sometimes right, which is why the last option overshoots.",D1 Solution Design & Architecture
Which constraint pushes decisions out of the model and into code?,multiple-choice,A requirement that the same inputs always produce the same determination.,,A requirement that determinations be auditable by an external examiner.,,A requirement that determinations be explainable to the affected person.,,A requirement that determinations be produced well within a fixed time budget.,,,,,,1,"Reproducibility is what model-driven control flow directly undermines, so a requirement that identical inputs yield identical determinations moves the decision into code with the model supplying evidence. Auditability and explainability are closely related and are satisfied by the same move; a time budget constrains the pattern differently.",D1 Solution Design & Architecture
What does naming the binding constraint achieve in a design document?,multiple-choice,"It makes explicit what was optimized and, by implication, what was accepted as worse.",,It records the requirement most likely to change over the system's lifetime.,,It identifies which stakeholder has in fact final approval over the design being proposed.,,It establishes the order in which the remaining design decisions will be taken.,,,,,,1,"Latency, cost and accuracy trade against one another, so naming which binds states what the design optimized and what it gave up. Without it a reviewer cannot judge whether the right sacrifice was made, and a future team cannot tell whether the reasoning still holds when circumstances shift.",D1 Solution Design & Architecture
A stakeholder asks what the system does when a request exceeds its latency budget. What should the design specify?,multiple-choice,"A timeout that returns an error, so that the caller is simply not left waiting indefinitely.",,A retry policy long enough that most requests eventually complete successfully.,,"A partial result or a queued acknowledgement, decided before launch rather than during.",,"An alarm to the on-call engineer, so slow requests are investigated promptly.",,,,,,3,"Exceeding a latency budget needs a designed response — partial results or an acknowledgement that work is queued — rather than an improvised one. A bare error is better than a hang and still discards work that may be nearly complete. Retries extend the wait, and alarms inform the team rather than the user.",D1 Solution Design & Architecture
Which workload profile fits the fastest and cheapest tier?,multiple-choice,Work that is high in volume but where each item requires nuanced interpretation.,,"High-volume, latency-critical and well-specified work such as routing or extraction.",,Work that is latency-tolerant and involves reasoning across long documents.,,Work that is low in volume but where the cost of an error is particularly high.,,,,,,2,"The smallest tier suits high-volume, latency-critical, well-specified work — classification, routing, extraction, triage — where the difficulty is within reach and errors surface readily. Nuance, high error cost and long-document reasoning all argue for more capability, whatever the volume or latency profile.","D2 Claude Models, Prompting & Context Engineering"
"What is the production default tier for most knowledge work, and why is it a default rather than a rule?",multiple-choice,"The cheapest tier, since cost dominates once a system reaches real volume.",,"The most capable tier, since quality is just what most knowledge work is judged on.",,"Whichever tier the team already uses, since consistency simplifies operations.",,"The balanced tier, since selection is still made per step against the workload.",,,,,,4,"The balanced tier is the sensible production default for most knowledge work and coding, and it remains a default because selection is a per-step trade-off — a triage classifier and a final synthesis step resolve it differently. Treating any tier as a rule is the single-factor error the domain rejects.","D2 Claude Models, Prompting & Context Engineering"
Why is prefix stability described as a design property rather than an optimization?,multiple-choice,Caching has to be enabled at design time and cannot be added to a running system.,,"The cache is allocated per deployment, so it must be sized during the design phase.",,Design choices such as per-tenant prompts destroy it before any tuning begins.,,Prefix length is fixed at design time and cannot be adjusted once traffic begins.,,,,,,3,"Caching matches a byte-exact prefix, so choices like composing a prompt per tenant, varying the tool set per request, or embedding a timestamp foreclose it entirely — no later tuning recovers what the structure gave away. Seeing it as a property you design for is what makes the ordering decision deliberate.","D2 Claude Models, Prompting & Context Engineering"
A prompt is edited directly in production to fix an urgent problem. What is the objection?,multiple-choice,A prompt change requires the schema to be updated at the same time to stay in step.,,"A prompt change cannot be reverted, so the previous version is lost permanently.",,A prompt change is a behaviour change and belongs under the same review as code.,,"A prompt change invalidates the cache, so the cost impact should be modelled first.",,,,,,3,"Prompts are versioned with the code that uses them because changing one changes behaviour, and an urgent fix is exactly when that discipline is most likely to be skipped and most likely to matter. Cache and schema effects are real considerations, and reversibility depends on the versioning the objection is asking for.","D2 Claude Models, Prompting & Context Engineering"
When does raising a model's thinking budget stop paying for itself?,multiple-choice,When the accumulated context is long enough that the budget competes with it for the same window.,,When the task is retrieval or formatting rather than multi-step derivation.,,When the prompt has already been through several rounds of iteration and refinement by the team.,,When the deployment is serving interactive users rather than a batch pipeline that runs overnight.,,,,,,2,"Extended thinking buys accuracy on problems with genuine intermediate steps to work through — derivation, planning, multi-constraint reconciliation. On lookup, extraction or reformatting there is nothing to reason about, so the extra tokens are billed and the answer does not improve. Latency and context pressure are real considerations that shape how much budget to grant, but they do not determine whether reasoning helps the task at all.","D2 Claude Models, Prompting & Context Engineering"
What distinguishes a system prompt from an organizational policy control?,multiple-choice,One is visible to the model; the other is enforced before the request is sent.,,One is maintained by the whole team; the other is maintained by a governance function.,,One applies to every request; the other applies only to requests that match it.,,One is weighed by the model; the other is applied regardless of what it concludes.,,,,,,4,"The system prompt is advisory: persistent and influential, and still text the model weighs against everything else in context. An organizational or harness control is applied irrespective of the model's reasoning. Both halves get tested, and ownership and scope are consequences of the distinction rather than the distinction itself.","D2 Claude Models, Prompting & Context Engineering"
A team asks whether a larger context window removes the need for a context strategy. What is the answer?,multiple-choice,"Yes, provided the conversation is summarized whenever the window is reached.",,"No, since larger windows are only available on the most capable model tiers.",,"Yes, provided the window is large enough to hold the longest expected session.",,"No, since every token spent on history is one unavailable to the current problem.",,,,,,4,"A large window is not permission to stop thinking about context: history competes with the current problem for attention, and in a stateless API the whole of it is re-sent and re-paid on every call. That makes context growth a quality, latency and cost problem simultaneously rather than a capacity question.","D2 Claude Models, Prompting & Context Engineering"
