Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A capability exists as a mature commercial product and the team proposes building it. What should the assessment turn on?,multiple-choice,Whether the commercial product's cost over three years exceeds the cost of building it.,,"Whether the capability is differentiating for this organization, not whether it is buildable.",,Whether the team has the engineering capacity available to build and then maintain it.,,Whether the commercial product can be integrated with the systems already in place.,,,,,,2,"Building consumes the scarcest resource an organization has on something a supplier already solved, so the question is whether this particular capability is where the organization should be distinctive. Capacity, cost and integration all inform the decision once that is answered, and none of them is a reason to build something generic.",D1 Solution Design & Architecture
A design has no separation between where changes are made and where users are served. What does that prevent?,multiple-choice,Attributing a change in behaviour to the specific edit that caused it.,,Measuring just how the system performs under the load it actually receives.,,Rolling back a change once it has been found to cause a problem.,,Changing anything without the change reaching users at the same moment.,,,,,,4,"Environments exist so a change can be exercised before it affects anyone, and without that separation every edit is a production edit. Rollback and attribution depend on versioning rather than on environments, and load characteristics are measured in production regardless.",D1 Solution Design & Architecture
An architecture depends on one provider for a capability with no alternative path. What should the design document state?,multiple-choice,That the provider's terms have been reviewed and found to be acceptable.,,That an alternative provider will be evaluated at a defined point in future.,,"That the dependency exists, and so that the organization is aware of it before committing.",,"What the dependency is worth and what switching would cost, so the risk is a decision.",,,,,,4,"Concentration is often the right choice and it should be a priced one: what the organization gains, and what it would take to move if the terms or the service changed. Merely noting the dependency records it without making it a decision, and deferring the evaluation postpones the same question.",D1 Solution Design & Architecture
A design must define what happens when the whole assistant is unavailable for an extended period. What does that require?,multiple-choice,A cache of recent responses that can be served while the system is down.,,An estimate of how long an outage of that kind would be likely to last.,,"A path the business can operate on without it, exercised rather than assumed.",,A second provider that can readily be substituted when the primary is unavailable.,,,,,,3,"Continuity means the work still gets done, which is a business process question before it is a technical one. Whatever the fallback is, it has to have been run rather than written down. A second provider and a cache are two possible implementations, and an outage estimate does not keep anything operating.",D1 Solution Design & Architecture
A team proposes fine-tuning to improve accuracy on a domain. What should be established first?,multiple-choice,Whether the resulting model can be evaluated against the same cases as the current one.,,Whether the organization has in fact the capability to operate a fine-tuned model in production.,,"Whether retrieval and prompt work have been exhausted, since those are cheaper to change.",,Whether enough labelled examples exist to make a fine-tune statistically worthwhile.,,,,,,3,"Fine-tuning fixes the weights and makes every subsequent change slower and more expensive, so it belongs after the levers that can be revised in an afternoon. Data volume, evaluation and operational capability are all real prerequisites once the decision to fine-tune has been justified.",D1 Solution Design & Architecture
A requirement can be satisfied by a rules engine or by a model. What favours the rules engine?,multiple-choice,"The rules are numerous, which would make a prompt describing them very long.",,"The rules change frequently, which a rules engine handles more readily.",,"The rules are simple, so a model would be more capability than is required.",,"The rules are enumerable and stable, and the outcome must be identical every time.",,,,,,4,"Determinism and enumerability are what make code the right home for a decision, and they are precisely what a model cannot offer. Volume and simplicity are weaker signals, and frequent change actually argues the other way, since a prompt is often easier to revise than deployed logic.",D1 Solution Design & Architecture
An initial release must be scoped and stakeholders want everything. What is the architect's contribution?,multiple-choice,Identifying the scope the team can deliver within the agreed timeline.,,Identifying the smallest scope that proves the risky assumption.,,Identifying the scope that delivers the most value in the first release.,,Identifying the scope that requires the fewest integrations to build.,,,,,,2,"A first release earns its cost by resolving uncertainty, and the useful question is which assumption would be most expensive to discover was wrong later. Value, timeline and integration effort are all real constraints and none of them targets the thing a first release is uniquely good at.",D1 Solution Design & Architecture
Assumptions made during design are recorded nowhere. What is the consequence when one turns out to be false?,multiple-choice,The design cannot be defended to a reviewer who questions it.,,The team repeats the analysis that produced the assumption.,,The assumption is discovered later than it would otherwise be.,,Nobody knows which parts of the design rested on it.,,,,,,4,"Recorded assumptions are what let a team trace the blast radius when reality diverges: which decisions were downstream of this, and what has to be revisited. Without that the whole design becomes suspect. Defensibility and rediscovery are secondary costs of the same omission.",D1 Solution Design & Architecture
"Technical debt accumulates in an assistant as prompts, tools and retrieval are adjusted. What form does it usually take?",multiple-choice,Code that has grown beyond what the current team understands.,,Accumulated instructions nobody can justify or safely remove.,,Infrastructure provisioned for load the system no longer receives.,,Dependencies that have fallen behind their current versions.,,,,,,2,"Prompts and tool sets accrete by addition: a clause added for one incident, a tool added for one request, and nothing is ever removed because nobody knows what depends on it. That is the characteristic debt of these systems, and it is why the reasoning behind each addition has to be recorded.",D1 Solution Design & Architecture
A design review is conducted by the team that produced the design. What is the limitation?,multiple-choice,The assumptions they share are the ones that go unexamined.,,"The review is less rigorous, since the team is invested in the outcome.",,"The review takes longer, since the team is already familiar with the design.",,The review cannot assess whether the design meets the stated requirements.,,,,,,1,"A shared frame is what makes a team efficient and what makes their review blind in the same places: the option nobody considered, the constraint everyone accepted. An outside reviewer is valuable precisely for not sharing it. Investment is a real bias and a weaker one than the framing effect.",D1 Solution Design & Architecture
