Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A requirement states that every determination must be explainable to an examiner years later. Which pattern property does that constrain?,multiple-choice,"Latency, since explanations have to be generated alongside each determination made.",,"Determinism, since a path chosen at runtime cannot be reconstructed afterwards.",,"Cost, since retaining the material needed for an explanation is expensive at volume.",,"Capability, since producing a defensible explanation is a harder reasoning problem.",,,,,,2,"Explainability years later is a determinism requirement: a model-chosen path leaves no reconstructable rationale, which is why decisions move into code and the model produces evidence rather than verdicts. Retention cost and explanation quality are genuine downstream concerns that follow once the control flow question is settled.",D1 Solution Design & Architecture
A proposal handles a bimodal workload with one mid-tier model for everything. What is the objection?,multiple-choice,"It complicates the deployment, since one tier serves two different purposes.",,It averages across a workload that has two distinct populations within it.,,"It makes evaluation harder, since two populations are measured as a single set.",,It costs more than the cheapest tier without matching the most capable one.,,,,,,2,"A large easy majority alongside a small hard tail is bimodal, and picking one model for the average overpays on most traffic while underserving the cases that matter. Splitting the workload — a cheap tier triaging and a capable one handling what it flags — is the standard answer, and the single mid tier is the most tempting wrong option.",D1 Solution Design & Architecture
Which requirement rules out multi-hop retrieval inside a request path?,multiple-choice,A high monthly volume with a fixed per-transaction cost ceiling.,,A corpus that is updated by another team on its own schedule.,,A tight response-time budget with a person waiting on the answer.,,A regulatory obligation to explain how each answer was reached.,,,,,,3,"Retrieval hops are serially additive, so a tight latency budget is violated by the design rather than by its tuning. Volume drives tier and caching decisions, explainability drives where decisions are made, and an externally maintained corpus is an argument for retrieval rather than against it.",D1 Solution Design & Architecture
A documented six-step procedure with verifiable success criteria is proposed as an autonomous agent. What is the objection?,multiple-choice,"A knowable sequence is a workflow, and autonomy discards the verifiability wanted.",,"An agent is more expensive per run, which a six-step procedure simply cannot justify.",,An agent is harder to explain to stakeholders than a documented procedure.,,"An agent requires tools for each step, which the team has not yet specified.",,,,,,1,"Known steps plus easily verifiable success is the workflow signature, and replacing it with model-driven control flow trades away exactly the property that made the process trustworthy. Cost, tooling and explainability are real consequences that follow from the pattern mismatch rather than constituting it.",D1 Solution Design & Architecture
Which question about an accuracy target changes the architecture most?,multiple-choice,How the accuracy figure will be measured once the system is running.,,How often the accuracy target will be reviewed after deployment.,,Who bears the cost when the system is wrong about a particular case.,,What accuracy the manual process it replaces currently achieves.,,,,,,3,"Who bears the cost of an error determines the review depth, the evaluation bar and whether automating the decision is permissible at all — the same numeric target means very different things for a draft and for a benefits determination. Measurement, baselines and review cadence all matter once that has been settled.",D1 Solution Design & Architecture
Which symptom indicates over-engineering rather than under-engineering?,multiple-choice,A pipeline that fails whenever an input nobody anticipated arrives.,,Nondeterministic output on a task whose steps were known in advance.,,Repeated manual intervention to handle cases the design cannot cover.,,A growing thicket of special-case branches added as new inputs appear.,,,,,,2,"Nondeterminism on a specifiable task is the signature of an agent where a workflow belonged. The other three describe under-engineering: a rigid workflow applied to genuinely open-ended work grows branches and breaks on the unanticipated. Both are wrong, and scenario exams punish over-engineering more often because it looks sophisticated.",D1 Solution Design & Architecture
What does the revisit-when line in a decision record provide that the other four do not?,multiple-choice,A record of who made the decision and can be asked about it afterwards.,,A summary of the alternatives considered before the choice was made.,,A measurable signal telling a future team whether the decision still holds.,,An estimate of the effort the decision commits the team to undertaking.,,,,,,3,"Context, decision, alternatives and consequences all explain a past choice; only revisit-when tells a future team under what conditions to reopen it. That is what distinguishes an architect's record from a statement of preference, and it is the natural bridge into a stakeholder conversation about what to watch for.",D1 Solution Design & Architecture
Which signal in a requirement points to genuine adaptivity rather than a preference for autonomy?,multiple-choice,"The process has many steps, which an agent is better placed to coordinate.",,"The process is important, so the additional capability is warranted here.",,"The cases cannot be enumerated, since each depends on what earlier steps find.",,"The process changes often, so a flexible design avoids frequent rework.",,,,,,3,"Being unable to enumerate the cases is the honest agent signal. Step count, volatility and importance all describe work that a workflow frequently handles better — with more determinism, lower cost and easier debugging. Reaching for autonomy on a specifiable process is what this domain most consistently penalizes.",D1 Solution Design & Architecture
A team asks whether a forty-page policy that changes twice yearly justifies a retrieval pipeline. What is the answer?,multiple-choice,Yes — retrieval scales better as the corpus grows over the coming years.,,No — a corpus that small and stable belongs in a cached prompt prefix.,,No — the policy should be fine-tuned into the model given its stability.,,Yes — retrieval provides the citations a policy answer needs to carry.,,,,,,2,"Retrieval earns its complexity when a corpus is large, changing or authoritative enough to demand citation at scale. Forty stable pages fit comfortably in a cached prefix, cost almost nothing on repeat calls, and cannot go stale between refreshes. Building retrieval here buys complexity against a constraint that does not bind.",D1 Solution Design & Architecture
"Which non-functional requirement most often drives residency, retention and audit obligations?",multiple-choice,"Throughput, which fixes the peak volume the system has to absorb.",,"Compliance, which fixes which regimes and data classes are in play.",,"Availability, which fixes what happens when a provider is degraded.",,"Accuracy, which fixes the error rate the business is able to tolerate.",,,,,,2,"Compliance is elicited by asking which regimes apply and which data classes are involved, and its architectural consequences are residency, retention, approved channels and an audit trail. The other three drive fallback design, capacity planning and evaluation depth respectively — real requirements with different consequences.",D1 Solution Design & Architecture
